name,member_NDV,onboarded,coordination_establised,technical_ability,working_plan_exist,publishing_data,no_participating_municipalities,no_municipalties_onboarded,no_municipalities_publishing_data,NDV_goal_achievement
Blekinge,False,True,True,True,True,True,4,0,?,False
Dalarna,False,False,False,False,False,False,0,0,?,False
Gotland,False,False,False,False,False,False,0,0,?,False
Gävleborg,False,False,False,False,False,False,0,0,?,False
Halland,False,False,False,False,False,False,0,0,?,False
Jämtland/Härjedalen,False,False,False,False,False,False,0,0,?,False
Jönköping,False,False,False,False,False,False,0,0,?,False
Kalmar,False,False,False,False,False,False,0,0,?,False
Kronoberg,False,False,False,False,False,False,0,0,?,False
Norrbotten,False,False,False,False,False,False,0,0,?,False
Skåne,True,False,True,True,True,False,9,4,?,False
Stockholm,True,False,True,True,False,False,16,0,?,False
Sörmland,True,False,True,False,False,False,0,0,?,False
Uppsala,True,False,True,False,False,False,0,0,?,False
VGR,True,False,True,True,True,True,24,8,17,False
Värmland,True,False,False,False,False,False,0,0,?,False
Västerbotten,False,False,False,False,False,False,0,0,?,False
Västernorrland,True,False,False,False,False,False,0,0,?,False
Västmanland,True,False,True,False,False,False,0,0,0,False
Örebro,True,False,True,False,False,False,0,0,1,False
Östergötland,True,False,True,False,False,False,0,0,1,False
